Species;Higuchi;Iffsc;Leveg
Myrcianthes;0.700224203;0.652080529;
Myrcianthes gigantea;0.730760687;0.652080529;
Myrcianthes pungens;0.669687718;0.652080529;
Myrciaria;;0.629388596;0.8175
Myrciaria delicatula;;0.629388596;0.85
Myrciaria floribunda;;0.629388596;0.785
Myrciaria plinioides;;0.629388596;
Myrciaria tenella;;0.629388596;
Myrocarpus;0.699255536;0.652956514;0.8
Myrocarpus frondosus;0.699255536;0.652956514;0.8
Myrrhinium;0.669948695;0.629388596;1
Myrrhinium atropurpureum;;0.629388596;1
Myrrhinium atropurpureum ;0.669948695;0.669948695;
Myrsine;0.633446911;0.55778684;0.616
Myrsine balansae;;0.55778684;
Myrsine coriacea;0.577845118;0.513594006;0.594
Myrsine gardneriana;;0.55778684;
Myrsine guianensis;;0.55778684;0.6
Myrsine hermogenesii;;0.55778684;
Myrsine laetevirens;;0.55778684;
Myrsine lancifolia;;0.55778684;
Myrsine lineata;;0.55778684;
Myrsine loefgrenii;;0.55778684;
Myrsine lorentziana;0.6675;0.6675;0.41
Myrsine parvifolia;;0.55778684;
Myrsine parvula;;0.55778684;
Myrsine umbellata;0.654995615;0.601979674;0.86
Myrsine venosa;;0.55778684;
Nectandra;0.444231372;0.42966685;0.6875
Nectandra angustifolia;;0.42966685;
Nectandra grandiflora;;0.402449669;0.61
Nectandra lanceolata;0.438146508;0.328375548;0.7
Nectandra leucantha;;0.42966685;
Nectandra megapotamica;0.450316236;0.429334338;0.75
Nectandra membranacea;;0.422838402;
Nectandra oppositifolia;;0.565336291;0.69
Nectandra puberula;;0.42966685;
Neea;;0.343043239;
Neea pendulina;;0.343043239;
Neomitranthes;;0.629388596;
Neomitranthes gemballae;;0.629388596;
Neomitranthes glomerata;;0.629388596;
Ocotea;0.46432457;0.494938074;0.593833333
Ocotea aciphylla;;0.494938074;
Ocotea bicolor;;0.494938074;
Ocotea brachybotrya;;0.494938074;
Ocotea catharinensis;;0.494938074;
Ocotea corymbosa;;0.494938074;
Ocotea daphnifolia;;0.494938074;
Ocotea diospyrifolia;;0.358973982;0.53
Ocotea dispersa;;0.494938074;
Ocotea elegans;;0.494938074;0.62
Ocotea glaziovii;;0.494938074;
Ocotea indecora;;0.494938074;
Ocotea lanata;;0.494938074;
Ocotea lancifolia;;0.494938074;
Ocotea laxa;;0.494938074;
Ocotea lobbii;;0.494938074;
Ocotea mandioccana;;0.539984421;
Ocotea marumbiensis;;0.494938074;
Ocotea nectandrifolia;;0.494938074;
Ocotea nunesiana;;0.494938074;
Ocotea nutans;;0.494938074;
Ocotea odorifera;;0.604035219;0.76
Ocotea paranaensis;;0.494938074;
Ocotea porosa;;0.567039402;0.57
Ocotea puberula;0.425497588;0.362738985;0.433
Ocotea pulchella;0.503151552;0.536856434;0.65
Ocotea pulchra;;0.494938074;
Ocotea silvestris;;0.494938074;
Ocotea teleiandra;;0.494938074;
Ocotea vaccinioides;;0.494938074;
Ocotea villosa;;0.494938074;
Oreopanax;0.449917355;0.52;
Oreopanax fulvum;0.449917355;0.449917355;
Oreopanax fulvus;;0.52;
Ormosia;;0.575372341;
Ormosia arborea;;0.575372341;
Ouratea;;0.726990909;
Ouratea parviflora;;0.726990909;
Ouratea salicifolia;;0.726990909;
Ouratea vaccinioides;;0.726990909;
